ProvID;Tipe_Daerah_ID;Membeli dari Pengembang;Membeli dari Bukan Pengembang;Membangun Sendiri;"Lainnya (Warisan, Hibah, dll.)"
prov_31;td_2;"0,54";"1,41";"94,85";"3,2"
prov_31;td_3;"3,2";"3,95";"90,27";"2,59"
prov_32;td_1;"1,64";"1,02";"94,58";"2,76"
prov_32;td_2;"1,04";"2,46";"89,96";"6,54"
prov_32;td_3;"1,18";"2,11";"91,1";"5,61"
prov_33;td_1;"3,82";"9,03";"78,74";"8,41"
prov_33;td_2;"0,3";"2,9";"81,48";"15,32"
prov_33;td_3;"1,49";"4,98";"80,55";"12,98"
prov_34;td_1;"5,12";"3,36";"84,48";"7,04"
prov_34;td_2;"0,38";"0,46";"89,03";"10,13"
prov_34;td_3;"1,3";"1,02";"88,15";"9,53"
prov_35;td_1;"8,3";"9,69";"71,56";"10,45"
prov_35;td_2;"1,22";"3,19";"87,79";"7,79"
prov_35;td_3;"4,76";"6,44";"79,67";"9,12"
